STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE,geometry
17,31,30702,2318,41.980899,-87.654586,POINT (649371.4369059037 262477.3308912474)
17,31,30703,3075,41.978999,-87.657089,POINT (649196.9076011002 262236.57467909047)
17,31,30706,2933,41.980199,-87.655414,POINT (649314.4458083934 262389.27565416513)
17,31,30800,4284,41.979806,-87.664604,POINT (648605.2696887603 262280.11128218635)
17,31,30900,2952,41.979661,-87.671882,POINT (648041.9053479162 262213.2720226273)
17,31,31000,3868,41.972407,-87.670997,POINT (648185.7963908631 261365.58115182765)
17,31,31100,4691,41.973596,-87.663775,POINT (648734.046214161 261554.91805162886)
17,31,31200,5541,41.972465,-87.656781,POINT (649288.6666095048 261469.69177323225)
17,31,31300,6719,41.972845,-87.65282,POINT (649592.1758817493 261541.5498895248)
17,31,31400,5221,41.958726,-87.648003,POINT (650112.8489212802 259912.91190689892)
17,31,31501,4155,41.967326,-87.652494,POINT (649674.8229691914 260894.2523786249)
17,31,31502,4712,41.963875,-87.652067,POINT (649743.8277216044 260491.03151471846)
17,31,31700,6294,41.965583,-87.662963,POINT (648880.2254127893 260617.41571073773)
17,31,31800,1910,41.966806,-87.670833,POINT (648256.5937098671 260707.50943460307)
17,31,31900,2522,41.963423,-87.669946,POINT (648360.5271133481 260315.42440273284)
17,31,32100,7543,41.958307,-87.653018,POINT (649727.8480421235 259829.21837081772)
17,31,40100,3905,41.977841,-87.681295,POINT (647330.1717523566 261934.75863098772)
17,31,40201,6408,41.972494,-87.694061,POINT (646394.5950863737 261218.33840243754)
17,31,40202,7318,41.979713,-87.694056,POINT (646320.3495445573 262068.01250082435)
17,31,40300,2928,41.977023,-87.701264,POINT (645788.6854705971 261702.28898048852)
17,31,40401,3129,41.97209,-87.685964,POINT (647027.2945626442 261226.0271306629)
17,31,40402,4746,41.971931,-87.678016,POINT (647645.8936901644 261261.58708953668)
17,31,40600,2530,41.966735,-87.684064,POINT (647230.208685847 260608.74811428355)
17,31,40700,3426,41.966901,-87.693904,POINT (646464.6061577591 260561.1432679331)
17,31,40800,1636,41.963067,-87.692166,POINT (646639.1750913565 260121.7574295476)
17,31,40900,2063,41.963482,-87.683046,POINT (647342.9117881249 260232.84323174047)
17,31,50100,2568,41.957677,-87.676923,POINT (647878.4034653387 259591.46726961288)
17,31,50200,5309,41.957724,-87.683709,POINT (647351.0427947928 259550.64044950897)
17,31,50300,2671,41.957611,-87.691103,POINT (646778.1280048323 259486.87214465506)
17,31,50500,5117,41.950307,-87.683245,POINT (647463.8477960022 258680.8843978024)
17,31,50600,2443,41.950559,-87.676573,POINT (647979.3209591387 258756.1298310962)
17,31,50700,1513,41.944924,-87.676184,POINT (648067.9083933725 258095.5986316191)
17,31,50800,1406,41.944973,-87.680769,POINT (647711.343458289 258070.02991804745)
17,31,50900,1426,41.945005,-87.685629,POINT (647333.5977026428 258040.59983941744)
17,31,51000,1538,41.941243,-87.685359,POINT (647393.4986050812 257599.68640275756)
17,31,51100,1599,41.941283,-87.680886,POINT (647740.4663171235 257634.9489821729)
17,31,51200,1581,41.94135,-87.676199,POINT (648103.7719404913 257674.86858698627)
17,31,51300,2907,41.93578,-87.675962,POINT (648179.8871114025 257020.951980373)
17,31,51400,2492,41.936381,-87.680874,POINT (647792.1568242499 257058.10870444874)
17,31,60100,2830,41.957387,-87.666453,POINT (648694.309900596 259628.93644664923)
17,31,60200,2313,41.95788,-87.670857,POINT (648347.2685065288 259656.8302444854)
17,31,60300,3076,41.950723,-87.671221,POINT (648393.2021107466 258812.0254828403)
17,31,60400,3709,41.950896,-87.666626,POINT (648748.2055537029 258863.82291014635)
17,31,60500,1374,41.952541,-87.662347,POINT (649063.3926249865 259086.71346368775)
17,31,60800,5295,41.953477,-87.647235,POINT (650227.0460058925 259300.43146162998)
17,31,60900,7104,41.949049,-87.645572,POINT (650402.2129839261 258790.7161582847)
17,31,61000,2279,41.949622,-87.651875,POINT (649906.8325698157 258814.92395414558)
17,31,61100,1367,41.949553,-87.656949,POINT (649513.5556611452 258772.02837456236)
17,31,61200,1932,41.949108,-87.66154,POINT (649161.6834594175 258688.20982850384)
17,31,61500,1797,41.945496,-87.66153,POINT (649199.9479270595 258263.18339724434)
17,31,61800,1051,41.946442,-87.646739,POINT (650338.7011320258 258475.8973870676)
17,31,61901,3625,41.942988,-87.643347,POINT (650638.0252834598 258092.67941118413)
17,31,61902,4665,41.942587,-87.641146,POINT (650813.1199737577 258060.59512821725)
17,31,62000,2843,41.942814,-87.647123,POINT (650346.6012820159 258046.29152370626)
17,31,62100,3817,41.942869,-87.651619,POINT (649996.8813785433 258021.9288011301)
17,31,62200,3244,41.942584,-87.656648,POINT (649609.2997682976 257953.91601543437)
17,31,62300,1667,41.941692,-87.661549,POINT (649237.9529888018 257815.36284564956)
17,31,62400,1673,41.941626,-87.666084,POINT (648886.4495141791 257776.54537374026)
17,31,62500,1675,41.941371,-87.671148,POINT (648495.8206318457 257711.8823486343)
17,31,62600,2477,41.936173,-87.671328,POINT (648535.7268114833 257098.8975998532)
17,31,62700,2955,41.93631,-87.666101,POINT (648940.2721886908 257150.79112186655)
17,31,62800,3851,41.936129,-87.66123,POINT (649320.4651423233 257162.8433557989)
17,31,62900,4125,41.936354,-87.656377,POINT (649695.0442366912 257222.57333240125)
17,31,63000,3417,41.936071,-87.65149,POINT (650077.5382365432 257222.77010240653)
17,31,63100,2376,41.938399,-87.646779,POINT (650419.2181884147 257529.06083607557)
17,31,63200,6900,41.938299,-87.64069,POINT (650893.1464272364 257559.08430539613)
17,31,63301,2833,41.934303,-87.642946,POINT (650759.5048959326 257073.31976248443)
17,31,63302,4577,41.93489,-87.639872,POINT (650992.1468951218 257163.50749142817)
17,31,63303,1274,41.934519,-87.637264,POINT (651198.5630900784 257137.7581018285)
17,31,63400,2417,41.934845,-87.64687,POINT (650449.1013340593 257110.17567589288)
