GEOID,Census Tracts,TotalPop,WhitePerc,Median_household_income,Mean_household_income,Bach_or_higher_perc,No_high_school_grad_perc,Percent_insured
40027201509,"Census Tract 2015.09, Cleveland County, Oklahoma",5428,70.41,97433,105489,48.7,6.4,95.5
40027201511,"Census Tract 2015.11, Cleveland County, Oklahoma",2801,70.15,72788,136038,45.3,11.3,90.1
40027201512,"Census Tract 2015.12, Cleveland County, Oklahoma",3724,73.98,75673,91864,51.9,2.3,88.6
40027201513,"Census Tract 2015.13, Cleveland County, Oklahoma",2981,72.26,119194,129759,70.2,0.0,96.6
40027201514,"Census Tract 2015.14, Cleveland County, Oklahoma",5334,71.52,96382,137922,61.2,0.6,92.6
40027201602,"Census Tract 2016.02, Cleveland County, Oklahoma",2920,67.43,45795,61030,13.1,24.8,87.0
40027201603,"Census Tract 2016.03, Cleveland County, Oklahoma",3845,67.02,50216,55895,18.3,12.5,75.9
40027201604,"Census Tract 2016.04, Cleveland County, Oklahoma",3910,63.07,64088,66026,23.5,10.8,86.0
40027201607,"Census Tract 2016.07, Cleveland County, Oklahoma",6721,64.86,72578,82300,28.6,8.2,93.9
40027201609,"Census Tract 2016.09, Cleveland County, Oklahoma",5027,63.36,119779,172366,39.4,5.4,94.1
40027201610,"Census Tract 2016.10, Cleveland County, Oklahoma",4338,65.58,111158,128789,36.1,4.4,96.6
40027201611,"Census Tract 2016.11, Cleveland County, Oklahoma",2264,70.63,88347,92211,27.1,5.5,91.6
40027201612,"Census Tract 2016.12, Cleveland County, Oklahoma",5340,70.41,62946,73074,30.1,7.9,89.7
40027201700,"Census Tract 2017, Cleveland County, Oklahoma",5060,71.28,120481,137647,47.9,8.4,96.4
40027201801,"Census Tract 2018.01, Cleveland County, Oklahoma",4409,66.30,89917,110971,55.5,5.4,94.7
40027201802,"Census Tract 2018.02, Cleveland County, Oklahoma",3789,72.31,80350,108082,36.4,6.7,91.4
40027201902,"Census Tract 2019.02, Cleveland County, Oklahoma",4660,58.61,74987,77638,23.8,4.7,89.8
40027201903,"Census Tract 2019.03, Cleveland County, Oklahoma",3098,52.55,64276,85534,26.9,8.7,89.1
40027201904,"Census Tract 2019.04, Cleveland County, Oklahoma",5376,54.39,62589,63943,23.8,7.1,89.5
40027202002,"Census Tract 2020.02, Cleveland County, Oklahoma",4309,66.30,58974,66486,19.5,10.8,84.5
40027202004,"Census Tract 2020.04, Cleveland County, Oklahoma",3893,69.66,68592,71923,23.4,5.0,89.4
40027202005,"Census Tract 2020.05, Cleveland County, Oklahoma",6564,60.31,56515,68870,15.5,15.3,79.9
40027202006,"Census Tract 2020.06, Cleveland County, Oklahoma",3433,56.10,40900,52612,22.4,8.0,86.4
40027202007,"Census Tract 2020.07, Cleveland County, Oklahoma",4954,62.05,80352,86348,28.2,10.0,88.7
40027202008,"Census Tract 2020.08, Cleveland County, Oklahoma",5105,69.42,86182,89856,36.1,3.2,93.0
40027202102,"Census Tract 2021.02, Cleveland County, Oklahoma",2543,73.77,48567,76438,16.6,9.6,88.7
40027202104,"Census Tract 2021.04, Cleveland County, Oklahoma",2433,71.02,77578,84246,21.7,5.9,91.4
40027202105,"Census Tract 2021.05, Cleveland County, Oklahoma",4473,70.76,69132,77006,24.7,4.4,93.2
