GEOID,POPULATION,TRACTCE
17031240600,1489,240600
17031240700,1499,240700
17031240800,1687,240800
17031240900,1122,240900
17031241000,2363,241000
17031241100,3574,241100
17031241200,1714,241200
17031241300,1848,241300
17031241400,5273,241400
17031241500,2954,241500
17031241600,3534,241600
17031242000,4692,242000
17031242100,3976,242100
17031242200,4082,242200
17031242300,3568,242300
17031242400,2902,242400
17031242500,3426,242500
17031242600,5665,242600
17031242700,1938,242700
17031242800,1507,242800
17031242900,1962,242900
17031243000,2234,243000
17031243100,2249,243100
17031243200,2287,243200
17031243300,2431,243300
17031243400,2880,243400
17031243500,4746,243500
17031250200,2779,250200
17031250300,4742,250300
17031250400,5789,250400
17031250500,7315,250500
17031250600,4203,250600
17031250700,5932,250700
17031250800,2432,250800
17031251000,1075,251000
17031251100,4468,251100
17031251200,3910,251200
17031251300,5098,251300
17031251400,3986,251400
17031251500,4342,251500
17031251600,3522,251600
17031251700,1347,251700
17031251800,5101,251800
17031251900,5387,251900
17031252000,5646,252000
17031252101,1502,252101
17031252102,6187,252102
17031252201,2940,252201
17031252202,4783,252202
17031260100,1477,260100
17031260200,1054,260200
17031260300,1528,260300
17031260400,1398,260400
17031260500,1833,260500
17031260600,2114,260600
17031260700,1691,260700
17031260800,2271,260800
17031260900,1778,260900
17031261000,2289,261000
17031270500,1619,270500
17031271200,1172,271200
17031271300,1060,271300
17031271400,1535,271400
17031271500,1373,271500
17031271800,976,271800
17031280100,7421,280100
17031280400,1231,280400
17031280800,1198,280800
17031280900,1077,280900
17031281900,7031,281900
17031282700,2558,282700
17031282800,1634,282800
17031283100,2717,283100
17031283200,1670,283200
17031283800,3343,283800
17031290900,3975,290900
17031291200,2286,291200
17031291600,874,291600
17031292200,2942,292200
17031292400,2041,292400
17031292500,4057,292500
17031300500,3243,300500
17031300600,3253,300600
17031300700,4798,300700
17031300800,4136,300800
17031300900,4553,300900
17031301100,2323,301100
17031301200,4087,301200
17031301600,4995,301600
17031301701,4279,301701
17031301702,4121,301702
17031301801,3947,301801
17031301802,3376,301802
17031301803,5107,301803
17031310200,1588,310200
17031310300,1767,310300
17031310400,1375,310400
17031310500,1399,310500
17031310600,5498,310600
17031310700,1700,310700
17031310800,4175,310800
17031310900,4781,310900
17031320101,9532,320101
17031320102,4846,320102
17031320400,2856,320400
17031320600,6395,320600
17031330101,4592,330101
17031330102,10811,330102
17031330103,8248,330103
17031330200,4008,330200
17031340300,1865,340300
17031340400,1844,340400
17031340500,1629,340500
17031340600,1151,340600
17031350100,2228,350100
17031350400,1512,350400
17031351000,3640,351000
17031351100,2038,351100
17031351400,1392,351400
17031351500,823,351500
17031360200,1651,360200
17031380100,2207,380100
17031380200,2408,380200
17031380600,3947,380600
17031381200,2077,381200
17031381400,1796,381400
17031381500,667,381500
17031381700,18,381700
17031381800,1462,381800
17031381900,1106,381900
17031390100,1553,390100
17031390200,1883,390200
17031390300,2617,390300
17031390400,2871,390400
17031390500,1666,390500
17031390600,1994,390600
17031390700,6532,390700
17031400300,1504,400300
17031400400,1995,400400
17031400500,2372,400500
17031400800,3178,400800
17031410100,2272,410100
17031410200,1165,410200
17031410500,2922,410500
17031410600,2371,410600
17031410700,2399,410700
17031410800,2993,410800
17031410900,3670,410900
17031411000,3902,411000
17031411100,2379,411100
17031411200,1713,411200
17031420100,1642,420100
17031420200,1781,420200
17031420300,2818,420300
17031420400,1544,420400
17031420500,2053,420500
17031420600,2524,420600
17031420700,3021,420700
17031420800,2457,420800
17031421200,1405,421200
17031430101,4091,430101
17031430102,3104,430102
17031430200,5086,430200
17031430300,2558,430300
17031430400,3031,430400
17031430500,4098,430500
17031430600,1670,430600
17031430700,2175,430700
17031430800,1862,430800
17031430900,1797,430900
17031431200,2898,431200
17031431301,3590,431301
17031431302,4351,431302
17031431400,6716,431400
17031440101,4171,440101
17031440102,3633,440102
17031440201,5054,440201
17031440202,3525,440202
17031440300,4677,440300
17031440600,1996,440600
17031440700,1497,440700
17031440800,1620,440800
17031440900,2462,440900
17031450300,3252,450300
17031460100,2840,460100
17031460200,1948,460200
17031460301,2987,460301
17031460302,3282,460302
17031460400,3411,460400
17031460500,5400,460500
17031460800,3639,460800
17031461000,1460,461000
17031470100,2527,470100
17031480100,2001,480100
17031480200,1103,480200
17031480300,1348,480300
17031480400,5650,480400
17031480500,2986,480500
17031490200,3040,490200
17031490500,1995,490500
17031490600,1443,490600
17031490700,2656,490700
17031490800,3502,490800
17031490901,3403,490901
17031490902,4647,490902
17031491000,3807,491000
17031491100,4079,491100
17031491200,2019,491200
17031491300,2023,491300
17031491400,2593,491400
17031500100,3545,500100
17031500200,1688,500200
17031500300,1587,500300
17031510100,3231,510100
17031510200,2922,510200
17031510300,4850,510300
17031520100,1745,520100
17031520200,3338,520200
17031520300,5675,520300
17031520400,4055,520400
17031520500,4420,520500
17031520600,2530,520600
17031530100,2197,530100
17031530200,4128,530200
17031530300,3964,530300
17031530400,2059,530400
17031530501,4514,530501
17031530502,1570,530502
17031530503,4898,530503
17031530600,2774,530600
17031540101,4324,540101
17031540102,2938,540102
17031550100,7019,550100
17031550200,2969,550200
17031560100,1477,560100
17031560200,1710,560200
17031560300,3253,560300
17031560400,1630,560400
17031560700,3635,560700
17031560800,5682,560800
17031560900,5112,560900
17031561000,5308,561000
17031561100,5581,561100
17031570100,1316,570100
17031570200,2096,570200
17031570300,6376,570300
17031570400,1769,570400
17031570500,2639,570500
17031580100,3228,580100
17031580200,3466,580200
17031580300,2577,580300
17031580400,4546,580400
17031580501,5170,580501
17031580502,5345,580502
17031580600,5405,580600
17031580700,5621,580700
17031580800,2058,580800
17031590500,1854,590500
17031590600,3477,590600
17031590700,3027,590700
17031600400,4297,600400
17031600600,2988,600600
17031600700,2591,600700
17031600900,3682,600900
17031610300,5410,610300
17031610400,2029,610400
17031610800,1512,610800
17031611200,2680,611200
17031611300,3668,611300
17031611400,3737,611400
17031611500,3587,611500
17031611600,1921,611600
17031611700,2180,611700
17031611800,2205,611800
17031611900,1984,611900
17031612000,1448,612000
17031612100,1168,612100
17031612200,3939,612200
17031620100,4567,620100
17031620200,2390,620200
17031620300,6410,620300
17031620400,5027,620400
17031630300,5385,630300
17031630400,7204,630400
17031630500,6271,630500
17031630600,3250,630600
17031630800,6641,630800
17031630900,5204,630900
17031640100,1312,640100
17031640300,6710,640300
17031640400,3390,640400
17031640500,3896,640500
17031640600,4063,640600
17031640700,3298,640700
17031640800,1799,640800
17031650100,4765,650100
17031650200,7251,650200
17031650301,5829,650301
17031650302,4522,650302
17031650400,6894,650400
17031650500,4401,650500
17031660301,1850,660301
17031660302,5549,660302
17031660400,5692,660400
17031660500,5013,660500
17031660600,6404,660600
17031660700,2076,660700
17031660800,6114,660800
17031660900,4446,660900
17031661000,5756,661000
17031661100,6633,661100
17031670100,1349,670100
17031670200,1325,670200
17031670300,1287,670300
17031670400,1585,670400
17031670500,1148,670500
17031670600,1339,670600
17031670700,1252,670700
